H,Hibiya,,,,,
Naka-Meguro,0,0,0,,,void
Ebisu,1,0.75,0,YM,,void
Hiroo,1.5,1.125,0,,,void
Roppongi,1.7,1.275,0,E,,void
Kamiyacho,1.5,1.125,0,,,void
Kasumigaseki,1.3,0.975,0,M&C,,void
Hibiya,1.2,0.9,0,C&I&YM,Yorakucho!Y,void
Ginza,0.4,0.3,0,G&M,,void
Higashi-Ginza,0.4,0.3,0,A,,void
Tsukiji,0.6,0.45,0,,,void
Hatchobori,1,0.75,0,,,void
Kayabacho,0.5,0.375,0,T,,void
Ningyocho,0.9,0.675,0,A,,void
Kodemmacho,0.6,0.45,0,,,void
Akihabara,0.9,0.675,0,YM,,void
Naka-Okachimachi,1,0.75,0,YM,Ueno-Hirokoji!G;Ueno-Okachimachi!E,void
Ueno,0.5,0.375,0,YM&G,,void
Iriya,1.2,0.9,0,,,void
Minowa,1.2,0.9,0,,,void
Minami-Senju,0.8,0.6,0,,,void
Kita-Senju,2.1,1.575,0,C,,void
