T,Tozai,,,,,
Nakano,0,0,0,,,void
Ochiai,2,1.935483871,0,,,void
Takadanobaba,1.9,1.838709677,0,YM,,void
Waseda,1.7,1.64516129,0,,,void
Kagurazaka,1.2,1.161290323,0,,,void
Iidabashi,1.2,1.161290323,0,N&Y&E,,void
Kudanshita,0.7,0.677419355,0,Z&S,,void
Takebashi,1,0.967741935,0,,,void
otemachi,1,0.967741935,0,M&C&Z&I,,void
Nihombashi,0.8,0.774193548,0,G&A,,void
Kayabacho,0.5,0.483870968,0,H,,void
Monzen-Nakacho,1.8,1.741935484,0,E,,void
Kiba,1.1,1.064516129,0,,,void
Toyocho,0.9,0.870967742,0,,,void
Minami-Sunamachi,1.2,1.161290323,0,,,void
Nishi-Kasai,2.7,2.612903226,0,,,void
Kasai,1.2,1.161290323,0,,,void
Urayasu,1.9,1.838709677,0,,,void
Minami-Gyotoku,1.2,1.161290323,0,,,void
Gyotoku,1.5,1.451612903,0,,,void
Myoden,1.3,1.258064516,0,,,void
Baraki-Nakayama,2.1,2.032258065,0,,,void
Nishi-Funabashi,1.9,1.838709677,0,,,void
