I,Mita,,,,,
Meguro,0,0,0,YM&N,,void
Shirokanedai,1.3,1.04,0,N,,void
Shirokane-Takanawa,1,0.8,0,N,,void
Mita,1.7,1.36,0,YM&A,,void
Shibakoen,0.6,0.48,0,,,void
Onarimon,0.7,0.56,0,,,void
Uchisaiwaicho,1.1,0.88,0,,,void
Hibiya,0.9,0.72,0,YM&H&C,Yorakucho!Y,void
otemachi,0.9,0.72,0,M&T&Z,,void
Jimbocho,1.4,1.12,0,S&Z,,void
Suidobashi,1,0.8,0,,,void
Kasuga,0.7,0.56,0,E,Korakuen!M&N,void
Hakusan,1.4,1.12,0,,,void
Sengoku,1,0.8,0,,,void
Sugamo,0.9,0.72,0,YM,,void
Nishi-Sugamo,1.4,1.12,0,,,void
Shin-Itabashi,1,0.8,0,,,void
Itabashi-Kuyakushomae,0.9,0.72,0,,,void
Itabashi-Honcho,1.2,0.96,0,,,void
Motohasunuma,0.9,0.72,0,,,void
Shimura-Sakaue,1.1,0.88,0,,,void
Shimura-Sanchome,0.9,0.72,0,,,void
Hasune,1.2,0.96,0,,,void
Nishidai,0.8,0.64,0,,,void
Takashimadaira,1,0.8,0,,,void
Shin-Takashimadaira,0.7,0.56,0,,,void
Nishi-Takashimadaira,0.8,0.64,0,,,void
