Y,Yamanote,,,,,
Shinagawa,0,0,0,,,void
osaki,2,1.333333333,0,,,void
Gotanda,0.9,0.6,0,A,,void
Meguro,1.2,0.8,0,N&I,,void
Ebisu,1.5,1,0,H,,void
Shibuya,1.6,1.066666667,0,G&Z&F,,void
Harajuku,1.2,0.8,0,C,,void
Yoyogi,1.5,1,0,E,,void
Shinjuku,0.7,0.466666667,0,M&S,Shinjuku-Nishiguchi!E,void
Shin-okubo,1.3,0.866666667,0,,,void
Takadanobaba,1.4,0.933333333,0,T,,void
Mejiro,0.9,0.6,0,,,void
Ikebukuro,1.2,0.8,0,M&Y&F,,void
otsuka,1.8,1.2,0,,,void
Sugamo,1.1,0.733333333,0,,,void
Komagome,0.7,0.466666667,0,N,,void
Tabata,1.6,1.066666667,0,,,void
Nishi-Nippori,0.8,0.533333333,0,C,,void
Nippori,0.5,0.333333333,0,,,void
Uguisudani,1.1,0.733333333,0,,,void
Ueno,1.1,0.733333333,0,G&H,,void
Okachimachi,0.6,0.4,0,,,void
Akihabara,1,0.666666667,0,H,,void
Kanda,0.7,0.466666667,0,G,,void
Tokyo,1.3,0.866666667,0,M,,void
Yorakucho,0.8,0.533333333,0,Y,Hibiya!H&C&I,void
Shimbashi,1.1,0.733333333,0,G&A,,void
Hamamatsucho,1.2,0.8,0,,Daimon!A&E,void
Tamachi,1.5,1,0,,,void
Shinagawa,2.2,1.466666667,0,,,void
